record_id,delta_id,route,route_purpose,sample_index,pmid,doi,title,year,journal,url
D05-PUBMED-01-42701187,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",1,42701187,10.1186/s12955-026-02564-2,"Nutrition knowledge, attitude, and practice in relation to health-related quality of life among urban-poor children in Malaysia: the mediating role of lifestyle factors.",2026,Health and quality of life outcomes,https://doi.org/10.1186/s12955-026-02564-2
D05-PUBMED-02-42701179,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",2,42701179,10.1186/s12877-026-08027-z,Evolution of functional and mental status and quality of life in people aged 75 years and over after the COVID-19 pandemic in Spain: a prospective cohort study.,2026,BMC geriatrics,https://doi.org/10.1186/s12877-026-08027-z
D05-PUBMED-03-42700351,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",3,42700351,10.1007/s10461-026-05287-z,Unmet Pet Caregiving Needs are Associated with Depression and Anxiety Symptoms Among People Living with HIV.,2026,AIDS and behavior,https://doi.org/10.1007/s10461-026-05287-z
D05-PUBMED-04-42693507,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",4,42693507,10.1002/mbo3.70397,Genetic Diversity and Epidemiological Overlap of Staphylococcus aureus at the Animal-Food-Environment-Human Interface Within a One Health Framework.,2026,MicrobiologyOpen,https://pmc.ncbi.nlm.nih.gov/articles/PMC13542186/
D05-PUBMED-05-42692514,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",5,42692514,10.1136/bmjopen-2025-116126,Perspectives of practitioners providing weight management support for young adults with obesity in an urban setting in Sri Lanka: a qualitative study.,2026,BMJ open,https://doi.org/10.1136/bmjopen-2025-116126
D05-PUBMED-06-42692482,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",6,42692482,10.1080/09637486.2026.2727075,Younger age and a sedentary lifestyle are associated with higher use of meal delivery apps among Brazilian adults (CUME+ study).,2026,International journal of food sciences and nutrition,https://doi.org/10.1080/09637486.2026.2727075
D05-PUBMED-07-42691159,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",7,42691159,10.1126/science.ael8715,(Un)intended consequences of mass-prescribing GLP-1s.,2026,"Science (New York, N.Y.)",https://doi.org/10.1126/science.ael8715
D05-PUBMED-08-42688422,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",8,42688422,10.1093/haschl/qxag220,Changes in documentation of social risk factor diagnosis codes: comparison of Medicaid Accountable Care Organization model types.,2026,Health affairs scholar,https://pmc.ncbi.nlm.nih.gov/articles/PMC13535211/
D05-PUBMED-09-42688177,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",9,42688177,10.3389/fpsyt.2026.1914441,Monthly dynamic associations between cost-of-living pressure and depressive and anxiety symptoms: a longitudinal study based on cross-lagged network analysis.,2026,Frontiers in psychiatry,https://pmc.ncbi.nlm.nih.gov/articles/PMC13533998/
D05-PUBMED-10-42687210,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",10,42687210,10.1186/s41182-026-01044-z,Association between the prevalence of overweight/obesity and dietary intake among mothers and children in urban and rural Malawi.,2026,Tropical medicine and health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13536806/
